1	Dictionary	9.99	2011-01-01 22:00:00+02	\N	{Book}
2	Python Book	29.99	2011-01-01 22:00:00+02	\N	{Book,Programming,Python}
3	Ruby Book	27.99	2011-01-01 22:00:00+02	\N	{Book,Programming,Ruby}
4	Baby Book	7.99	2011-01-01 22:00:00+02	\N	{Book,Children,Baby}
5	Coloring Book	5.99	2011-01-01 22:00:00+02	\N	{Book,Children}
6	Desktop Computer	499.99	2011-01-01 22:00:00+02	\N	{Technology}
7	Laptop Computer	899.99	2011-01-01 22:00:00+02	\N	{Technology}
8	MP3 Player	108.00	2011-01-01 22:00:00+02	\N	{Technology,Music}
9	42" LCD TV	499.00	2011-01-01 22:00:00+02	\N	{Technology,TV}
10	42" Plasma TV	529.00	2011-01-01 22:00:00+02	\N	{Technology,TV}
11	Classical CD	9.99	2011-01-01 22:00:00+02	\N	{Music}
12	Holiday CD	9.99	2011-01-01 22:00:00+02	\N	{Music}
13	Country CD	9.99	2011-01-01 22:00:00+02	\N	{Music}
14	Pop CD	9.99	2011-01-01 22:00:00+02	\N	{Music}
15	Electronic CD	9.99	2011-01-01 22:00:00+02	\N	{Music}
16	Comedy Movie	14.99	2011-01-01 22:00:00+02	\N	{Movie,Comedy}
17	Documentary	14.99	2011-01-01 22:00:00+02	\N	{Movie}
18	Romantic	14.99	2011-01-01 22:00:00+02	\N	{Movie}
19	Drama	14.99	2011-01-01 22:00:00+02	\N	{Movie}
20	Action	14.99	2011-01-01 22:00:00+02	\N	{Movie}
